time,depth,latitude,longitude,so,day,distance_km
2024-02-01,2.645669,36.66667,3.0833435,,2024-02-01,9.496464669132697
2024-02-01,2.645669,36.66667,3.1666718,,2024-02-01,13.276882967911245
2024-02-01,2.645669,36.66667,3.25,,2024-02-01,19.306074472517334
2024-02-01,2.645669,36.75,2.8333435,36.607903,2024-02-01,20.194040166169533
2024-02-01,2.645669,36.75,2.9166718,,2024-02-01,12.76987826840439
2024-02-01,2.645669,36.75,3.0,,2024-02-01,5.345713953294998
2024-02-01,2.645669,36.75,3.0833435,36.655304,2024-02-01,2.079801567910821
2024-02-01,2.645669,36.75,3.1666718,36.669968,2024-02-01,9.50394748445699
2024-02-01,2.645669,36.75,3.25,,2024-02-01,16.92811061876691
2024-02-01,2.645669,36.833336,2.8333435,36.58398,2024-02-01,22.20863381656194
2024-02-01,2.645669,36.833336,2.9166718,36.601685,2024-02-01,15.772124592603511
2024-02-01,2.645669,36.833336,3.0,36.6086,2024-02-01,10.696398658202174
2024-02-01,2.645669,36.833336,3.0833435,36.620255,2024-02-01,9.496747682395155
2024-02-01,2.645669,36.833336,3.1666718,36.653095,2024-02-01,13.270048906298761
2024-02-01,2.645669,36.833336,3.25,36.663246,2024-02-01,19.290330362086166
2024-02-01,2.645669,36.91667,2.8333435,36.643234,2024-02-01,27.393082527538727
2024-02-01,2.645669,36.91667,2.9166718,36.648064,2024-02-01,22.49852861582144
2024-02-01,2.645669,36.91667,3.0,36.668034,2024-02-01,19.286865452625985
2024-02-01,2.645669,36.91667,3.0833435,36.711884,2024-02-01,18.648990373299995
2024-02-01,2.645669,36.91667,3.1666718,36.737774,2024-02-01,20.82299777897512
2024-02-01,2.645669,36.91667,3.25,36.73746,2024-02-01,25.08797191414032
2024-02-01,3.819495,36.583336,2.8333435,,2024-02-01,27.42486183499686
2024-02-01,3.819495,36.583336,2.9166718,,2024-02-01,22.513610945271516
2024-02-01,3.819495,36.583336,3.0,,2024-02-01,19.289317853545782
2024-02-01,3.819495,36.583336,3.0833435,,2024-02-01,18.648702135525184
2024-02-01,3.819495,36.583336,3.1666718,,2024-02-01,20.831708919035847
2024-02-01,3.819495,36.583336,3.25,,2024-02-01,25.112182506309033
2024-02-01,3.819495,36.66667,2.8333435,,2024-02-01,22.228234819302035
2024-02-01,3.819495,36.66667,2.9166718,,2024-02-01,15.782881420103022
2024-02-01,3.819495,36.66667,3.0,,2024-02-01,10.698609465725811
2024-02-01,3.819495,36.66667,3.0833435,,2024-02-01,9.496464669132697
2024-02-01,3.819495,36.66667,3.1666718,,2024-02-01,13.276882967911245
2024-02-01,3.819495,36.66667,3.25,,2024-02-01,19.306074472517334
2024-02-01,3.819495,36.75,2.8333435,36.608204,2024-02-01,20.194040166169533
2024-02-01,3.819495,36.75,2.9166718,,2024-02-01,12.76987826840439
2024-02-01,3.819495,36.75,3.0,,2024-02-01,5.345713953294998
2024-02-01,3.819495,36.75,3.0833435,36.655922,2024-02-01,2.079801567910821
2024-02-01,3.819495,36.75,3.1666718,36.670536,2024-02-01,9.50394748445699
2024-02-01,3.819495,36.75,3.25,,2024-02-01,16.92811061876691
2024-02-01,3.819495,36.833336,2.8333435,36.584515,2024-02-01,22.20863381656194
2024-02-01,3.819495,36.833336,2.9166718,36.60198,2024-02-01,15.772124592603511
2024-02-01,3.819495,36.833336,3.0,36.609142,2024-02-01,10.696398658202174
2024-02-01,3.819495,36.833336,3.0833435,36.62309,2024-02-01,9.496747682395155
2024-02-01,3.819495,36.833336,3.1666718,36.655872,2024-02-01,13.270048906298761
2024-02-01,3.819495,36.833336,3.25,36.665016,2024-02-01,19.290330362086166
2024-02-01,3.819495,36.91667,2.8333435,36.644463,2024-02-01,27.393082527538727
2024-02-01,3.819495,36.91667,2.9166718,36.648785,2024-02-01,22.49852861582144
2024-02-01,3.819495,36.91667,3.0,36.66988,2024-02-01,19.286865452625985
2024-02-01,3.819495,36.91667,3.0833435,36.719543,2024-02-01,18.648990373299995
2024-02-01,3.819495,36.91667,3.1666718,36.745308,2024-02-01,20.82299777897512
2024-02-01,3.819495,36.91667,3.25,36.742737,2024-02-01,25.08797191414032
2024-02-02,0.494025,36.583336,2.8333435,,2024-02-02,27.42486183499686
2024-02-02,0.494025,36.583336,2.9166718,,2024-02-02,22.513610945271516
2024-02-02,0.494025,36.583336,3.0,,2024-02-02,19.289317853545782
2024-02-02,0.494025,36.583336,3.0833435,,2024-02-02,18.648702135525184
2024-02-02,0.494025,36.583336,3.1666718,,2024-02-02,20.831708919035847
2024-02-02,0.494025,36.583336,3.25,,2024-02-02,25.112182506309033
2024-02-02,0.494025,36.66667,2.8333435,,2024-02-02,22.228234819302035
2024-02-02,0.494025,36.66667,2.9166718,,2024-02-02,15.782881420103022
2024-02-02,0.494025,36.66667,3.0,,2024-02-02,10.698609465725811
2024-02-02,0.494025,36.66667,3.0833435,,2024-02-02,9.496464669132697
2024-02-02,0.494025,36.66667,3.1666718,,2024-02-02,13.276882967911245
2024-02-02,0.494025,36.66667,3.25,,2024-02-02,19.306074472517334
2024-02-02,0.494025,36.75,2.8333435,36.61356,2024-02-02,20.194040166169533
2024-02-02,0.494025,36.75,2.9166718,,2024-02-02,12.76987826840439
2024-02-02,0.494025,36.75,3.0,,2024-02-02,5.345713953294998
2024-02-02,0.494025,36.75,3.0833435,36.616684,2024-02-02,2.079801567910821
2024-02-02,0.494025,36.75,3.1666718,36.641094,2024-02-02,9.50394748445699
2024-02-02,0.494025,36.75,3.25,,2024-02-02,16.92811061876691
2024-02-02,0.494025,36.833336,2.8333435,36.575848,2024-02-02,22.20863381656194
2024-02-02,0.494025,36.833336,2.9166718,36.582653,2024-02-02,15.772124592603511
2024-02-02,0.494025,36.833336,3.0,36.58657,2024-02-02,10.696398658202174
2024-02-02,0.494025,36.833336,3.0833435,36.58457,2024-02-02,9.496747682395155
2024-02-02,0.494025,36.833336,3.1666718,36.607254,2024-02-02,13.270048906298761
2024-02-02,0.494025,36.833336,3.25,36.62151,2024-02-02,19.290330362086166
2024-02-02,0.494025,36.91667,2.8333435,36.598526,2024-02-02,27.393082527538727
2024-02-02,0.494025,36.91667,2.9166718,36.62682,2024-02-02,22.49852861582144
2024-02-02,0.494025,36.91667,3.0,36.674595,2024-02-02,19.286865452625985
2024-02-02,0.494025,36.91667,3.0833435,36.695465,2024-02-02,18.648990373299995
2024-02-02,0.494025,36.91667,3.1666718,36.709866,2024-02-02,20.82299777897512
2024-02-02,0.494025,36.91667,3.25,36.722347,2024-02-02,25.08797191414032
2024-02-02,1.541375,36.583336,2.8333435,,2024-02-02,27.42486183499686
2024-02-02,1.541375,36.583336,2.9166718,,2024-02-02,22.513610945271516
2024-02-02,1.541375,36.583336,3.0,,2024-02-02,19.289317853545782
2024-02-02,1.541375,36.583336,3.0833435,,2024-02-02,18.648702135525184
2024-02-02,1.541375,36.583336,3.1666718,,2024-02-02,20.831708919035847
2024-02-02,1.541375,36.583336,3.25,,2024-02-02,25.112182506309033
2024-02-02,1.541375,36.66667,2.8333435,,2024-02-02,22.228234819302035
2024-02-02,1.541375,36.66667,2.9166718,,2024-02-02,15.782881420103022
2024-02-02,1.541375,36.66667,3.0,,2024-02-02,10.698609465725811
2024-02-02,1.541375,36.66667,3.0833435,,2024-02-02,9.496464669132697
