time,depth,latitude,longitude,ph,dissic,day,distance_km
2024-02-01,2.6456685,36.5,2.5,,,2024-02-01,57.18584711457668
2024-02-01,2.6456685,36.5,2.75,,,2024-02-01,39.218630748632165
2024-02-01,2.6456685,36.5,3.0,,,2024-02-01,28.309899066231292
2024-02-01,2.6456685,36.5,3.25,,,2024-02-01,32.56184297337359
2024-02-01,2.6456685,36.5,3.5,,,2024-02-01,48.109971773295804
2024-02-01,2.6456685,36.5,3.75,,,2024-02-01,67.55982081549554
2024-02-01,2.6456685,36.75,2.5,8.112359,2.209973,2024-02-01,49.893335851721524
2024-02-01,2.6456685,36.75,2.75,,,2024-02-01,27.619548433415456
2024-02-01,2.6456685,36.75,3.0,,,2024-02-01,5.345713953294998
2024-02-01,2.6456685,36.75,3.25,,,2024-02-01,16.92811061876691
2024-02-01,2.6456685,36.75,3.5,,,2024-02-01,39.201925363355656
2024-02-01,2.6456685,36.75,3.75,,,2024-02-01,61.475673310100895
2024-02-01,2.6456685,37.0,2.5,8.110357,2.214191,2024-02-01,57.043668759204486
2024-02-01,2.6456685,37.0,2.75,8.110369,2.217243,2024-02-01,39.154960218269906
2024-02-01,2.6456685,37.0,3.0,8.109333,2.216647,2024-02-01,28.306273869736685
2024-02-01,2.6456685,37.0,3.25,8.10794,2.2194846,2024-02-01,32.53286358811945
2024-02-01,2.6456685,37.0,3.5,8.108246,2.22321,2024-02-01,48.00558097221438
2024-02-01,2.6456685,37.0,3.75,8.109022,2.2247224,2024-02-01,67.3771665595173
2024-02-01,2.6456685,37.25,2.5,8.108987,2.2128665,2024-02-01,74.59321055978846
2024-02-01,2.6456685,37.25,2.75,8.105375,2.2159457,2024-02-01,62.03979573410962
2024-02-01,2.6456685,37.25,3.0,8.100674,2.2125025,2024-02-01,55.85227782011057
2024-02-01,2.6456685,37.25,3.25,8.099269,2.2112863,2024-02-01,58.10140704804029
2024-02-01,2.6456685,37.25,3.5,8.102134,2.2112336,2024-02-01,67.95457758570011
2024-02-01,2.6456685,37.25,3.75,8.104766,2.2112188,2024-02-01,82.73827358954384
2024-02-01,3.8194947,36.25,2.5,,,2024-02-01,74.81033821417587
2024-02-01,3.8194947,36.25,2.75,,,2024-02-01,62.11983730345671
2024-02-01,3.8194947,36.25,3.0,,,2024-02-01,55.85557448584465
2024-02-01,3.8194947,36.25,3.25,,,2024-02-01,58.13350219663351
2024-02-01,3.8194947,36.25,3.5,,,2024-02-01,68.10175849678386
2024-02-01,3.8194947,36.25,3.75,,,2024-02-01,83.035373349154
2024-02-01,3.8194947,36.5,2.5,,,2024-02-01,57.18584711457668
2024-02-01,3.8194947,36.5,2.75,,,2024-02-01,39.218630748632165
2024-02-01,3.8194947,36.5,3.0,,,2024-02-01,28.309899066231292
2024-02-01,3.8194947,36.5,3.25,,,2024-02-01,32.56184297337359
2024-02-01,3.8194947,36.5,3.5,,,2024-02-01,48.109971773295804
2024-02-01,3.8194947,36.5,3.75,,,2024-02-01,67.55982081549554
2024-02-01,3.8194947,36.75,2.5,8.112416,2.2099786,2024-02-01,49.893335851721524
2024-02-01,3.8194947,36.75,2.75,,,2024-02-01,27.619548433415456
2024-02-01,3.8194947,36.75,3.0,,,2024-02-01,5.345713953294998
2024-02-01,3.8194947,36.75,3.25,,,2024-02-01,16.92811061876691
2024-02-01,3.8194947,36.75,3.5,,,2024-02-01,39.201925363355656
2024-02-01,3.8194947,36.75,3.75,,,2024-02-01,61.475673310100895
2024-02-01,3.8194947,37.0,2.5,8.110416,2.2141747,2024-02-01,57.043668759204486
2024-02-01,3.8194947,37.0,2.75,8.110427,2.2172403,2024-02-01,39.154960218269906
2024-02-01,3.8194947,37.0,3.0,8.109407,2.216652,2024-02-01,28.306273869736685
2024-02-01,3.8194947,37.0,3.25,8.108041,2.2194202,2024-02-01,32.53286358811945
2024-02-01,3.8194947,37.0,3.5,8.1083555,2.2230937,2024-02-01,48.00558097221438
2024-02-01,3.8194947,37.0,3.75,8.109121,2.2246,2024-02-01,67.3771665595173
2024-02-01,3.8194947,37.25,2.5,8.109029,2.2128456,2024-02-01,74.59321055978846
2024-02-01,3.8194947,37.25,2.75,8.105431,2.2159357,2024-02-01,62.03979573410962
2024-02-01,3.8194947,37.25,3.0,8.100719,2.2124934,2024-02-01,55.85227782011057
2024-02-01,3.8194947,37.25,3.25,8.099312,2.2112775,2024-02-01,58.10140704804029
2024-02-01,3.8194947,37.25,3.5,8.102198,2.2112236,2024-02-01,67.95457758570011
2024-02-01,3.8194947,37.25,3.75,8.104851,2.2112055,2024-02-01,82.73827358954384
2024-02-02,0.49402538,36.25,2.5,,,2024-02-02,74.81033821417587
2024-02-02,0.49402538,36.25,2.75,,,2024-02-02,62.11983730345671
2024-02-02,0.49402538,36.25,3.0,,,2024-02-02,55.85557448584465
2024-02-02,0.49402538,36.25,3.25,,,2024-02-02,58.13350219663351
2024-02-02,0.49402538,36.25,3.5,,,2024-02-02,68.10175849678386
2024-02-02,0.49402538,36.25,3.75,,,2024-02-02,83.035373349154
2024-02-02,0.49402538,36.5,2.5,,,2024-02-02,57.18584711457668
2024-02-02,0.49402538,36.5,2.75,,,2024-02-02,39.218630748632165
2024-02-02,0.49402538,36.5,3.0,,,2024-02-02,28.309899066231292
2024-02-02,0.49402538,36.5,3.25,,,2024-02-02,32.56184297337359
2024-02-02,0.49402538,36.5,3.5,,,2024-02-02,48.109971773295804
2024-02-02,0.49402538,36.5,3.75,,,2024-02-02,67.55982081549554
2024-02-02,0.49402538,36.75,2.5,8.112354,2.2103536,2024-02-02,49.893335851721524
2024-02-02,0.49402538,36.75,2.75,,,2024-02-02,27.619548433415456
2024-02-02,0.49402538,36.75,3.0,,,2024-02-02,5.345713953294998
2024-02-02,0.49402538,36.75,3.25,,,2024-02-02,16.92811061876691
2024-02-02,0.49402538,36.75,3.5,,,2024-02-02,39.201925363355656
2024-02-02,0.49402538,36.75,3.75,,,2024-02-02,61.475673310100895
2024-02-02,0.49402538,37.0,2.5,8.109769,2.21524,2024-02-02,57.043668759204486
2024-02-02,0.49402538,37.0,2.75,8.109988,2.2160716,2024-02-02,39.154960218269906
2024-02-02,0.49402538,37.0,3.0,8.108761,2.2164958,2024-02-02,28.306273869736685
2024-02-02,0.49402538,37.0,3.25,8.107278,2.2189507,2024-02-02,32.53286358811945
2024-02-02,0.49402538,37.0,3.5,8.107187,2.2203891,2024-02-02,48.00558097221438
2024-02-02,0.49402538,37.0,3.75,8.10758,2.2211902,2024-02-02,67.3771665595173
2024-02-02,0.49402538,37.25,2.5,8.107686,2.2144716,2024-02-02,74.59321055978846
2024-02-02,0.49402538,37.25,2.75,8.104124,2.2144644,2024-02-02,62.03979573410962
2024-02-02,0.49402538,37.25,3.0,8.100093,2.2122052,2024-02-02,55.85227782011057
2024-02-02,0.49402538,37.25,3.25,8.098139,2.2120538,2024-02-02,58.10140704804029
2024-02-02,0.49402538,37.25,3.5,8.100422,2.212368,2024-02-02,67.95457758570011
2024-02-02,0.49402538,37.25,3.75,8.104699,2.211459,2024-02-02,82.73827358954384
2024-02-02,1.5413754,36.25,2.5,,,2024-02-02,74.81033821417587
2024-02-02,1.5413754,36.25,2.75,,,2024-02-02,62.11983730345671
2024-02-02,1.5413754,36.25,3.0,,,2024-02-02,55.85557448584465
2024-02-02,1.5413754,36.25,3.25,,,2024-02-02,58.13350219663351
2024-02-02,1.5413754,36.25,3.5,,,2024-02-02,68.10175849678386
2024-02-02,1.5413754,36.25,3.75,,,2024-02-02,83.035373349154
2024-02-02,1.5413754,36.5,2.5,,,2024-02-02,57.18584711457668
2024-02-02,1.5413754,36.5,2.75,,,2024-02-02,39.218630748632165
2024-02-02,1.5413754,36.5,3.0,,,2024-02-02,28.309899066231292
2024-02-02,1.5413754,36.5,3.25,,,2024-02-02,32.56184297337359
2024-02-02,1.5413754,36.5,3.5,,,2024-02-02,48.109971773295804
2024-02-02,1.5413754,36.5,3.75,,,2024-02-02,67.55982081549554
2024-02-02,1.5413754,36.75,2.5,8.112356,2.210362,2024-02-02,49.893335851721524
2024-02-02,1.5413754,36.75,2.75,,,2024-02-02,27.619548433415456
2024-02-02,1.5413754,36.75,3.0,,,2024-02-02,5.345713953294998
2024-02-02,1.5413754,36.75,3.25,,,2024-02-02,16.92811061876691
2024-02-02,1.5413754,36.75,3.5,,,2024-02-02,39.201925363355656
2024-02-02,1.5413754,36.75,3.75,,,2024-02-02,61.475673310100895
2024-02-02,1.5413754,37.0,2.5,8.109804,2.215225,2024-02-02,57.043668759204486
2024-02-02,1.5413754,37.0,2.75,8.109991,2.2160618,2024-02-02,39.154960218269906
2024-02-02,1.5413754,37.0,3.0,8.10873,2.2164934,2024-02-02,28.306273869736685
2024-02-02,1.5413754,37.0,3.25,8.107234,2.2189069,2024-02-02,32.53286358811945
2024-02-02,1.5413754,37.0,3.5,8.107117,2.220322,2024-02-02,48.00558097221438
2024-02-02,1.5413754,37.0,3.75,8.107487,2.2211037,2024-02-02,67.3771665595173
2024-02-02,1.5413754,37.25,2.5,8.107628,2.2144544,2024-02-02,74.59321055978846
2024-02-02,1.5413754,37.25,2.75,8.10404,2.214449,2024-02-02,62.03979573410962
2024-02-02,1.5413754,37.25,3.0,8.099988,2.2121902,2024-02-02,55.85227782011057
2024-02-02,1.5413754,37.25,3.25,8.09803,2.2120395,2024-02-02,58.10140704804029
2024-02-02,1.5413754,37.25,3.5,8.100312,2.212354,2024-02-02,67.95457758570011
2024-02-02,1.5413754,37.25,3.75,8.104587,2.2114441,2024-02-02,82.73827358954384
2024-02-02,2.6456685,36.25,2.5,,,2024-02-02,74.81033821417587
2024-02-02,2.6456685,36.25,2.75,,,2024-02-02,62.11983730345671
2024-02-02,2.6456685,36.25,3.0,,,2024-02-02,55.85557448584465
2024-02-02,2.6456685,36.25,3.25,,,2024-02-02,58.13350219663351
2024-02-02,2.6456685,36.25,3.5,,,2024-02-02,68.10175849678386
2024-02-02,2.6456685,36.25,3.75,,,2024-02-02,83.035373349154
2024-02-02,2.6456685,36.5,2.5,,,2024-02-02,57.18584711457668
2024-02-02,2.6456685,36.5,2.75,,,2024-02-02,39.218630748632165
2024-02-02,2.6456685,36.5,3.0,,,2024-02-02,28.309899066231292
2024-02-02,2.6456685,36.5,3.25,,,2024-02-02,32.56184297337359
2024-02-02,2.6456685,36.5,3.5,,,2024-02-02,48.109971773295804
2024-02-02,2.6456685,36.5,3.75,,,2024-02-02,67.55982081549554
2024-02-02,2.6456685,36.75,2.5,8.112432,2.2103677,2024-02-02,49.893335851721524
2024-02-02,2.6456685,36.75,2.75,,,2024-02-02,27.619548433415456
2024-02-02,2.6456685,36.75,3.0,,,2024-02-02,5.345713953294998
2024-02-02,2.6456685,36.75,3.25,,,2024-02-02,16.92811061876691
2024-02-02,2.6456685,36.75,3.5,,,2024-02-02,39.201925363355656
2024-02-02,2.6456685,36.75,3.75,,,2024-02-02,61.475673310100895
2024-02-02,2.6456685,37.0,2.5,8.109902,2.2152102,2024-02-02,57.043668759204486
2024-02-02,2.6456685,37.0,2.75,8.110084,2.216055,2024-02-02,39.154960218269906
2024-02-02,2.6456685,37.0,3.0,8.108812,2.216493,2024-02-02,28.306273869736685
2024-02-02,2.6456685,37.0,3.25,8.107303,2.2188675,2024-02-02,32.53286358811945
2024-02-02,2.6456685,37.0,3.5,8.107141,2.2202597,2024-02-02,48.00558097221438
2024-02-02,2.6456685,37.0,3.75,8.107459,2.2210338,2024-02-02,67.3771665595173
2024-02-02,2.6456685,37.25,2.5,8.107684,2.2144382,2024-02-02,74.59321055978846
2024-02-02,2.6456685,37.25,2.75,8.104057,2.2144358,2024-02-02,62.03979573410962
2024-02-02,2.6456685,37.25,3.0,8.099977,2.2121787,2024-02-02,55.85227782011057
2024-02-02,2.6456685,37.25,3.25,8.098014,2.2120295,2024-02-02,58.10140704804029
2024-02-02,2.6456685,37.25,3.5,8.100287,2.2123442,2024-02-02,67.95457758570011
2024-02-02,2.6456685,37.25,3.75,8.104545,2.211433,2024-02-02,82.73827358954384
2024-02-02,3.8194947,36.25,2.5,,,2024-02-02,74.81033821417587
2024-02-02,3.8194947,36.25,2.75,,,2024-02-02,62.11983730345671
2024-02-02,3.8194947,36.25,3.0,,,2024-02-02,55.85557448584465
2024-02-02,3.8194947,36.25,3.25,,,2024-02-02,58.13350219663351
2024-02-02,3.8194947,36.25,3.5,,,2024-02-02,68.10175849678386
2024-02-02,3.8194947,36.25,3.75,,,2024-02-02,83.035373349154
2024-02-02,3.8194947,36.5,2.5,,,2024-02-02,57.18584711457668
2024-02-02,3.8194947,36.5,2.75,,,2024-02-02,39.218630748632165
2024-02-02,3.8194947,36.5,3.0,,,2024-02-02,28.309899066231292
2024-02-02,3.8194947,36.5,3.25,,,2024-02-02,32.56184297337359
2024-02-02,3.8194947,36.5,3.5,,,2024-02-02,48.109971773295804
2024-02-02,3.8194947,36.5,3.75,,,2024-02-02,67.55982081549554
2024-02-02,3.8194947,36.75,2.5,8.112487,2.2103724,2024-02-02,49.893335851721524
2024-02-02,3.8194947,36.75,2.75,,,2024-02-02,27.619548433415456
2024-02-02,3.8194947,36.75,3.0,,,2024-02-02,5.345713953294998
