time,latitude,longitude,zos,day,distance_km
2024-02-03,36.833336,2.8333435,-0.32698044,2024-02-03,22.20863381656194
2024-02-03,36.833336,2.9166718,-0.32826048,2024-02-03,15.772124592603511
2024-02-03,36.833336,3.0,-0.32933417,2024-02-03,10.696398658202174
2024-02-03,36.833336,3.0833435,-0.32994664,2024-02-03,9.496747682395155
2024-02-03,36.833336,3.1666718,-0.33073398,2024-02-03,13.270048906298761
2024-02-03,36.833336,3.25,-0.33075094,2024-02-03,19.290330362086166
2024-02-03,36.91667,2.8333435,-0.32228753,2024-02-03,27.393082527538727
2024-02-03,36.91667,2.9166718,-0.3259552,2024-02-03,22.49852861582144
2024-02-03,36.91667,3.0,-0.3279764,2024-02-03,19.286865452625985
2024-02-03,36.91667,3.0833435,-0.32920972,2024-02-03,18.648990373299995
2024-02-03,36.91667,3.1666718,-0.3308583,2024-02-03,20.82299777897512
2024-02-03,36.91667,3.25,-0.33179182,2024-02-03,25.08797191414032
2024-02-04,36.583336,2.8333435,,2024-02-04,27.42486183499686
2024-02-04,36.583336,2.9166718,,2024-02-04,22.513610945271516
2024-02-04,36.583336,3.0,,2024-02-04,19.289317853545782
2024-02-04,36.583336,3.0833435,,2024-02-04,18.648702135525184
2024-02-04,36.583336,3.1666718,,2024-02-04,20.831708919035847
2024-02-04,36.583336,3.25,,2024-02-04,25.112182506309033
2024-02-04,36.66667,2.8333435,,2024-02-04,22.228234819302035
2024-02-04,36.66667,2.9166718,,2024-02-04,15.782881420103022
2024-02-04,36.66667,3.0,,2024-02-04,10.698609465725811
2024-02-04,36.66667,3.0833435,,2024-02-04,9.496464669132697
2024-02-04,36.66667,3.1666718,,2024-02-04,13.276882967911245
2024-02-04,36.66667,3.25,,2024-02-04,19.306074472517334
2024-02-04,36.75,2.8333435,-0.35980263,2024-02-04,20.194040166169533
2024-02-04,36.75,2.9166718,,2024-02-04,12.76987826840439
2024-02-04,36.75,3.0,,2024-02-04,5.345713953294998
2024-02-04,36.75,3.0833435,-0.3604221,2024-02-04,2.079801567910821
2024-02-04,36.75,3.1666718,-0.36055738,2024-02-04,9.50394748445699
2024-02-04,36.75,3.25,,2024-02-04,16.92811061876691
2024-02-04,36.833336,2.8333435,-0.35741934,2024-02-04,22.20863381656194
2024-02-04,36.833336,2.9166718,-0.35942268,2024-02-04,15.772124592603511
2024-02-04,36.833336,3.0,-0.3599709,2024-02-04,10.696398658202174
2024-02-04,36.833336,3.0833435,-0.3597458,2024-02-04,9.496747682395155
2024-02-04,36.833336,3.1666718,-0.3590593,2024-02-04,13.270048906298761
2024-02-04,36.833336,3.25,-0.35836846,2024-02-04,19.290330362086166
2024-02-04,36.91667,2.8333435,-0.35228106,2024-02-04,27.393082527538727
2024-02-04,36.91667,2.9166718,-0.35178998,2024-02-04,22.49852861582144
2024-02-04,36.91667,3.0,-0.35222203,2024-02-04,19.286865452625985
2024-02-04,36.91667,3.0833435,-0.35253125,2024-02-04,18.648990373299995
2024-02-04,36.91667,3.1666718,-0.35094228,2024-02-04,20.82299777897512
2024-02-04,36.91667,3.25,-0.34878546,2024-02-04,25.08797191414032
2024-02-05,36.583336,2.8333435,,2024-02-05,27.42486183499686
2024-02-05,36.583336,2.9166718,,2024-02-05,22.513610945271516
2024-02-05,36.583336,3.0,,2024-02-05,19.289317853545782
2024-02-05,36.583336,3.0833435,,2024-02-05,18.648702135525184
2024-02-05,36.583336,3.1666718,,2024-02-05,20.831708919035847
2024-02-05,36.583336,3.25,,2024-02-05,25.112182506309033
2024-02-05,36.66667,2.8333435,,2024-02-05,22.228234819302035
2024-02-05,36.66667,2.9166718,,2024-02-05,15.782881420103022
2024-02-05,36.66667,3.0,,2024-02-05,10.698609465725811
2024-02-05,36.66667,3.0833435,,2024-02-05,9.496464669132697
2024-02-05,36.66667,3.1666718,,2024-02-05,13.276882967911245
2024-02-05,36.66667,3.25,,2024-02-05,19.306074472517334
2024-02-05,36.75,2.8333435,-0.3458873,2024-02-05,20.194040166169533
2024-02-05,36.75,2.9166718,,2024-02-05,12.76987826840439
2024-02-05,36.75,3.0,,2024-02-05,5.345713953294998
2024-02-05,36.75,3.0833435,-0.35153195,2024-02-05,2.079801567910821
2024-02-05,36.75,3.1666718,-0.35195953,2024-02-05,9.50394748445699
2024-02-05,36.75,3.25,,2024-02-05,16.92811061876691
2024-02-05,36.833336,2.8333435,-0.34952855,2024-02-05,22.20863381656194
2024-02-05,36.833336,2.9166718,-0.35009888,2024-02-05,15.772124592603511
2024-02-05,36.833336,3.0,-0.35095537,2024-02-05,10.696398658202174
2024-02-05,36.833336,3.0833435,-0.35126418,2024-02-05,9.496747682395155
