time,latitude,longitude,VHM0,day,distance_km
2024-02-02 09:00:00,36.6,3.2,,2024-02-02,20.834803137838325
2024-02-02 09:00:00,36.6,3.4,,2024-02-02,34.60668942631392
2024-02-02 09:00:00,36.6,3.6,,2024-02-02,50.96497136686656
2024-02-02 09:00:00,36.8,2.6,0.1,2024-02-02,41.3459957842098
2024-02-02 09:00:00,36.8,2.8,0.1,2024-02-02,23.81531164202181
2024-02-02 09:00:00,36.8,3.0,0.11,2024-02-02,7.71164775832373
2024-02-02 09:00:00,36.8,3.2,0.13,2024-02-02,13.652634841593615
2024-02-02 09:00:00,36.8,3.4,0.15,2024-02-02,30.788692179572458
2024-02-02 09:00:00,36.8,3.6,0.16,2024-02-02,48.416010939023316
2024-02-02 09:00:00,37.0,2.6,0.13,2024-02-02,49.46668838567102
2024-02-02 09:00:00,37.0,2.8,0.14,2024-02-02,36.160992740141566
2024-02-02 09:00:00,37.0,3.0,0.16,2024-02-02,28.306273869736685
2024-02-02 09:00:00,37.0,3.2,0.18,2024-02-02,30.46043732523778
2024-02-02 09:00:00,37.0,3.4,0.21,2024-02-02,41.07793100546198
2024-02-02 09:00:00,37.0,3.6,0.24,2024-02-02,55.49696283220268
2024-02-02 09:00:00,37.2,2.6,0.14,2024-02-02,64.60314442386236
2024-02-02 09:00:00,37.2,2.8,0.16,2024-02-02,55.11103585981329
2024-02-02 09:00:00,37.2,3.0,0.18,2024-02-02,50.32082583162587
