time,depth,latitude,longitude,chl,phyc,day,distance_km
2024-02-01,2.6456685,36.5,2.5,,,2024-02-01,57.18584711457668
2024-02-01,2.6456685,36.5,2.75,,,2024-02-01,39.218630748632165
2024-02-01,2.6456685,36.5,3.0,,,2024-02-01,28.309899066231292
2024-02-01,2.6456685,36.5,3.25,,,2024-02-01,32.56184297337359
2024-02-01,2.6456685,36.5,3.5,,,2024-02-01,48.109971773295804
2024-02-01,2.6456685,36.5,3.75,,,2024-02-01,67.55982081549554
2024-02-01,2.6456685,36.75,2.5,0.2954192,1.6978562,2024-02-01,49.893335851721524
2024-02-01,2.6456685,36.75,2.75,,,2024-02-01,27.619548433415456
2024-02-01,2.6456685,36.75,3.0,,,2024-02-01,5.345713953294998
2024-02-01,2.6456685,36.75,3.25,,,2024-02-01,16.92811061876691
2024-02-01,2.6456685,36.75,3.5,,,2024-02-01,39.201925363355656
2024-02-01,2.6456685,36.75,3.75,,,2024-02-01,61.475673310100895
2024-02-01,2.6456685,37.0,2.5,0.31783044,1.828615,2024-02-01,57.043668759204486
2024-02-01,2.6456685,37.0,2.75,0.3004645,1.7682284,2024-02-01,39.154960218269906
2024-02-01,2.6456685,37.0,3.0,0.33996224,1.9454743,2024-02-01,28.306273869736685
2024-02-01,2.6456685,37.0,3.25,0.34841722,1.9764012,2024-02-01,32.53286358811945
2024-02-01,2.6456685,37.0,3.5,0.33547902,1.9355584,2024-02-01,48.00558097221438
2024-02-01,2.6456685,37.0,3.75,0.30598477,1.8480383,2024-02-01,67.3771665595173
2024-02-01,2.6456685,37.25,2.5,0.33274904,1.8499402,2024-02-01,74.59321055978846
2024-02-01,2.6456685,37.25,2.75,0.30988437,1.7061683,2024-02-01,62.03979573410962
2024-02-01,2.6456685,37.25,3.0,0.34738785,1.766817,2024-02-01,55.85227782011057
2024-02-01,2.6456685,37.25,3.25,0.3551096,1.7575679,2024-02-01,58.10140704804029
2024-02-01,2.6456685,37.25,3.5,0.31572938,1.6922194,2024-02-01,67.95457758570011
2024-02-01,2.6456685,37.25,3.75,0.2701198,1.6229804,2024-02-01,82.73827358954384
2024-02-01,3.8194947,36.25,2.5,,,2024-02-01,74.81033821417587
2024-02-01,3.8194947,36.25,2.75,,,2024-02-01,62.11983730345671
2024-02-01,3.8194947,36.25,3.0,,,2024-02-01,55.85557448584465
2024-02-01,3.8194947,36.25,3.25,,,2024-02-01,58.13350219663351
2024-02-01,3.8194947,36.25,3.5,,,2024-02-01,68.10175849678386
2024-02-01,3.8194947,36.25,3.75,,,2024-02-01,83.035373349154
2024-02-01,3.8194947,36.5,2.5,,,2024-02-01,57.18584711457668
2024-02-01,3.8194947,36.5,2.75,,,2024-02-01,39.218630748632165
2024-02-01,3.8194947,36.5,3.0,,,2024-02-01,28.309899066231292
2024-02-01,3.8194947,36.5,3.25,,,2024-02-01,32.56184297337359
2024-02-01,3.8194947,36.5,3.5,,,2024-02-01,48.109971773295804
2024-02-01,3.8194947,36.5,3.75,,,2024-02-01,67.55982081549554
2024-02-01,3.8194947,36.75,2.5,0.2959207,1.6981207,2024-02-01,49.893335851721524
2024-02-01,3.8194947,36.75,2.75,,,2024-02-01,27.619548433415456
2024-02-01,3.8194947,36.75,3.0,,,2024-02-01,5.345713953294998
2024-02-01,3.8194947,36.75,3.25,,,2024-02-01,16.92811061876691
2024-02-01,3.8194947,36.75,3.5,,,2024-02-01,39.201925363355656
2024-02-01,3.8194947,36.75,3.75,,,2024-02-01,61.475673310100895
2024-02-01,3.8194947,37.0,2.5,0.3184395,1.8285422,2024-02-01,57.043668759204486
2024-02-01,3.8194947,37.0,2.75,0.30042705,1.7665808,2024-02-01,39.154960218269906
2024-02-01,3.8194947,37.0,3.0,0.33947328,1.9421139,2024-02-01,28.306273869736685
2024-02-01,3.8194947,37.0,3.25,0.34810045,1.9733543,2024-02-01,32.53286358811945
2024-02-01,3.8194947,37.0,3.5,0.3352979,1.9332292,2024-02-01,48.00558097221438
2024-02-01,3.8194947,37.0,3.75,0.30576023,1.8459961,2024-02-01,67.3771665595173
2024-02-01,3.8194947,37.25,2.5,0.33341485,1.8500832,2024-02-01,74.59321055978846
2024-02-01,3.8194947,37.25,2.75,0.31013864,1.7058866,2024-02-01,62.03979573410962
2024-02-01,3.8194947,37.25,3.0,0.3476045,1.7667857,2024-02-01,55.85227782011057
2024-02-01,3.8194947,37.25,3.25,0.35544756,1.7577213,2024-02-01,58.10140704804029
2024-02-01,3.8194947,37.25,3.5,0.31602222,1.6923339,2024-02-01,67.95457758570011
2024-02-01,3.8194947,37.25,3.75,0.2702615,1.6230687,2024-02-01,82.73827358954384
2024-02-02,0.49402538,36.25,2.5,,,2024-02-02,74.81033821417587
2024-02-02,0.49402538,36.25,2.75,,,2024-02-02,62.11983730345671
2024-02-02,0.49402538,36.25,3.0,,,2024-02-02,55.85557448584465
2024-02-02,0.49402538,36.25,3.25,,,2024-02-02,58.13350219663351
2024-02-02,0.49402538,36.25,3.5,,,2024-02-02,68.10175849678386
2024-02-02,0.49402538,36.25,3.75,,,2024-02-02,83.035373349154
2024-02-02,0.49402538,36.5,2.5,,,2024-02-02,57.18584711457668
2024-02-02,0.49402538,36.5,2.75,,,2024-02-02,39.218630748632165
2024-02-02,0.49402538,36.5,3.0,,,2024-02-02,28.309899066231292
2024-02-02,0.49402538,36.5,3.25,,,2024-02-02,32.56184297337359
2024-02-02,0.49402538,36.5,3.5,,,2024-02-02,48.109971773295804
2024-02-02,0.49402538,36.5,3.75,,,2024-02-02,67.55982081549554
2024-02-02,0.49402538,36.75,2.5,0.30280134,1.6874301,2024-02-02,49.893335851721524
2024-02-02,0.49402538,36.75,2.75,,,2024-02-02,27.619548433415456
2024-02-02,0.49402538,36.75,3.0,,,2024-02-02,5.345713953294998
2024-02-02,0.49402538,36.75,3.25,,,2024-02-02,16.92811061876691
2024-02-02,0.49402538,36.75,3.5,,,2024-02-02,39.201925363355656
2024-02-02,0.49402538,36.75,3.75,,,2024-02-02,61.475673310100895
2024-02-02,0.49402538,37.0,2.5,0.3213963,1.7541779,2024-02-02,57.043668759204486
2024-02-02,0.49402538,37.0,2.75,0.3130742,1.7651095,2024-02-02,39.154960218269906
2024-02-02,0.49402538,37.0,3.0,0.34869823,1.9109323,2024-02-02,28.306273869736685
2024-02-02,0.49402538,37.0,3.25,0.35231358,1.9058726,2024-02-02,32.53286358811945
2024-02-02,0.49402538,37.0,3.5,0.33542842,1.8394316,2024-02-02,48.00558097221438
2024-02-02,0.49402538,37.0,3.75,0.29959962,1.7343948,2024-02-02,67.3771665595173
2024-02-02,0.49402538,37.25,2.5,0.33923602,1.7750735,2024-02-02,74.59321055978846
2024-02-02,0.49402538,37.25,2.75,0.32689923,1.7350259,2024-02-02,62.03979573410962
2024-02-02,0.49402538,37.25,3.0,0.36980972,1.8241012,2024-02-02,55.85227782011057
2024-02-02,0.49402538,37.25,3.25,0.3899245,1.7789415,2024-02-02,58.10140704804029
2024-02-02,0.49402538,37.25,3.5,0.3670238,1.6682955,2024-02-02,67.95457758570011
2024-02-02,0.49402538,37.25,3.75,0.30441403,1.6055822,2024-02-02,82.73827358954384
2024-02-02,1.5413754,36.25,2.5,,,2024-02-02,74.81033821417587
2024-02-02,1.5413754,36.25,2.75,,,2024-02-02,62.11983730345671
2024-02-02,1.5413754,36.25,3.0,,,2024-02-02,55.85557448584465
2024-02-02,1.5413754,36.25,3.25,,,2024-02-02,58.13350219663351
2024-02-02,1.5413754,36.25,3.5,,,2024-02-02,68.10175849678386
2024-02-02,1.5413754,36.25,3.75,,,2024-02-02,83.035373349154
2024-02-02,1.5413754,36.5,2.5,,,2024-02-02,57.18584711457668
2024-02-02,1.5413754,36.5,2.75,,,2024-02-02,39.218630748632165
2024-02-02,1.5413754,36.5,3.0,,,2024-02-02,28.309899066231292
2024-02-02,1.5413754,36.5,3.25,,,2024-02-02,32.56184297337359
2024-02-02,1.5413754,36.5,3.5,,,2024-02-02,48.109971773295804
2024-02-02,1.5413754,36.5,3.75,,,2024-02-02,67.55982081549554
2024-02-02,1.5413754,36.75,2.5,0.30303782,1.6876496,2024-02-02,49.893335851721524
2024-02-02,1.5413754,36.75,2.75,,,2024-02-02,27.619548433415456
2024-02-02,1.5413754,36.75,3.0,,,2024-02-02,5.345713953294998
2024-02-02,1.5413754,36.75,3.25,,,2024-02-02,16.92811061876691
2024-02-02,1.5413754,36.75,3.5,,,2024-02-02,39.201925363355656
2024-02-02,1.5413754,36.75,3.75,,,2024-02-02,61.475673310100895
2024-02-02,1.5413754,37.0,2.5,0.32153928,1.7541417,2024-02-02,57.043668759204486
2024-02-02,1.5413754,37.0,2.75,0.31308502,1.7646961,2024-02-02,39.154960218269906
2024-02-02,1.5413754,37.0,3.0,0.34862828,1.9102296,2024-02-02,28.306273869736685
2024-02-02,1.5413754,37.0,3.25,0.35227138,1.9053578,2024-02-02,32.53286358811945
2024-02-02,1.5413754,37.0,3.5,0.33540994,1.8391182,2024-02-02,48.00558097221438
2024-02-02,1.5413754,37.0,3.75,0.29960302,1.7342037,2024-02-02,67.3771665595173
2024-02-02,1.5413754,37.25,2.5,0.3393569,1.7750595,2024-02-02,74.59321055978846
2024-02-02,1.5413754,37.25,2.75,0.32697254,1.7349844,2024-02-02,62.03979573410962
2024-02-02,1.5413754,37.25,3.0,0.36985236,1.8240423,2024-02-02,55.85227782011057
2024-02-02,1.5413754,37.25,3.25,0.38995424,1.7789503,2024-02-02,58.10140704804029
2024-02-02,1.5413754,37.25,3.5,0.3670698,1.6683443,2024-02-02,67.95457758570011
2024-02-02,1.5413754,37.25,3.75,0.30444738,1.6055936,2024-02-02,82.73827358954384
2024-02-02,2.6456685,36.25,2.5,,,2024-02-02,74.81033821417587
2024-02-02,2.6456685,36.25,2.75,,,2024-02-02,62.11983730345671
2024-02-02,2.6456685,36.25,3.0,,,2024-02-02,55.85557448584465
2024-02-02,2.6456685,36.25,3.25,,,2024-02-02,58.13350219663351
2024-02-02,2.6456685,36.25,3.5,,,2024-02-02,68.10175849678386
2024-02-02,2.6456685,36.25,3.75,,,2024-02-02,83.035373349154
2024-02-02,2.6456685,36.5,2.5,,,2024-02-02,57.18584711457668
2024-02-02,2.6456685,36.5,2.75,,,2024-02-02,39.218630748632165
2024-02-02,2.6456685,36.5,3.0,,,2024-02-02,28.309899066231292
2024-02-02,2.6456685,36.5,3.25,,,2024-02-02,32.56184297337359
2024-02-02,2.6456685,36.5,3.5,,,2024-02-02,48.109971773295804
2024-02-02,2.6456685,36.5,3.75,,,2024-02-02,67.55982081549554
2024-02-02,2.6456685,36.75,2.5,0.30346397,1.6880395,2024-02-02,49.893335851721524
2024-02-02,2.6456685,36.75,2.75,,,2024-02-02,27.619548433415456
2024-02-02,2.6456685,36.75,3.0,,,2024-02-02,5.345713953294998
2024-02-02,2.6456685,36.75,3.25,,,2024-02-02,16.92811061876691
2024-02-02,2.6456685,36.75,3.5,,,2024-02-02,39.201925363355656
2024-02-02,2.6456685,36.75,3.75,,,2024-02-02,61.475673310100895
2024-02-02,2.6456685,37.0,2.5,0.321842,1.7540728,2024-02-02,57.043668759204486
2024-02-02,2.6456685,37.0,2.75,0.31309038,1.7637031,2024-02-02,39.154960218269906
2024-02-02,2.6456685,37.0,3.0,0.34845862,1.9086204,2024-02-02,28.306273869736685
2024-02-02,2.6456685,37.0,3.25,0.3521792,1.9042753,2024-02-02,32.53286358811945
2024-02-02,2.6456685,37.0,3.5,0.33537152,1.838497,2024-02-02,48.00558097221438
2024-02-02,2.6456685,37.0,3.75,0.29960495,1.7338462,2024-02-02,67.3771665595173
2024-02-02,2.6456685,37.25,2.5,0.33959755,1.7750349,2024-02-02,74.59321055978846
2024-02-02,2.6456685,37.25,2.75,0.32711545,1.7349206,2024-02-02,62.03979573410962
2024-02-02,2.6456685,37.25,3.0,0.36993212,1.823949,2024-02-02,55.85227782011057
2024-02-02,2.6456685,37.25,3.25,0.3900073,1.7789704,2024-02-02,58.10140704804029
2024-02-02,2.6456685,37.25,3.5,0.36715063,1.6684326,2024-02-02,67.95457758570011
2024-02-02,2.6456685,37.25,3.75,0.30450878,1.6056228,2024-02-02,82.73827358954384
2024-02-02,3.8194947,36.25,2.5,,,2024-02-02,74.81033821417587
2024-02-02,3.8194947,36.25,2.75,,,2024-02-02,62.11983730345671
2024-02-02,3.8194947,36.25,3.0,,,2024-02-02,55.85557448584465
2024-02-02,3.8194947,36.25,3.25,,,2024-02-02,58.13350219663351
2024-02-02,3.8194947,36.25,3.5,,,2024-02-02,68.10175849678386
2024-02-02,3.8194947,36.25,3.75,,,2024-02-02,83.035373349154
2024-02-02,3.8194947,36.5,2.5,,,2024-02-02,57.18584711457668
2024-02-02,3.8194947,36.5,2.75,,,2024-02-02,39.218630748632165
2024-02-02,3.8194947,36.5,3.0,,,2024-02-02,28.309899066231292
2024-02-02,3.8194947,36.5,3.25,,,2024-02-02,32.56184297337359
2024-02-02,3.8194947,36.5,3.5,,,2024-02-02,48.109971773295804
2024-02-02,3.8194947,36.5,3.75,,,2024-02-02,67.55982081549554
2024-02-02,3.8194947,36.75,2.5,0.30408928,1.6885997,2024-02-02,49.893335851721524
