date,pixel_lat,pixel_lon,precipitation_mm,is_max
2024-01-01,36.774999951943755,3.425000349059701,17.40679931640625,False
2024-01-01,36.774999951943755,3.475000349804759,14.19692325592041,False
2024-01-01,36.7249999511987,3.425000349059701,20.313615798950195,False
2024-01-01,36.7249999511987,3.475000349804759,15.524453163146973,False
2024-01-01,36.7249999511987,3.525000350549817,16.720016479492188,False
2024-01-01,36.67499995045364,3.425000349059701,20.50489616394043,True
2024-01-01,36.67499995045364,3.475000349804759,16.179475784301758,False
2024-01-01,36.67499995045364,3.525000350549817,15.557785034179688,False
2024-01-01,36.62499994970858,3.475000349804759,19.282337188720703,False
2024-01-01,36.62499994970858,3.525000350549817,16.115909576416016,False
2024-01-02,36.774999951943755,3.425000349059701,0.0,True
2024-01-02,36.774999951943755,3.475000349804759,0.0,True
2024-01-02,36.7249999511987,3.425000349059701,0.0,True
2024-01-02,36.7249999511987,3.475000349804759,0.0,True
2024-01-02,36.7249999511987,3.525000350549817,0.0,True
2024-01-02,36.67499995045364,3.425000349059701,0.0,True
2024-01-02,36.67499995045364,3.475000349804759,0.0,True
2024-01-02,36.67499995045364,3.525000350549817,0.0,True
2024-01-02,36.62499994970858,3.475000349804759,0.0,True
2024-01-02,36.62499994970858,3.525000350549817,0.0,True
2024-01-03,36.774999951943755,3.425000349059701,0.0,True
2024-01-03,36.774999951943755,3.475000349804759,0.0,True
2024-01-03,36.7249999511987,3.425000349059701,0.0,True
2024-01-03,36.7249999511987,3.475000349804759,0.0,True
2024-01-03,36.7249999511987,3.525000350549817,0.0,True
2024-01-03,36.67499995045364,3.425000349059701,0.0,True
2024-01-03,36.67499995045364,3.475000349804759,0.0,True
2024-01-03,36.67499995045364,3.525000350549817,0.0,True
2024-01-03,36.62499994970858,3.475000349804759,0.0,True
2024-01-03,36.62499994970858,3.525000350549817,0.0,True
2024-01-04,36.774999951943755,3.425000349059701,0.0,True
2024-01-04,36.774999951943755,3.475000349804759,0.0,True
2024-01-04,36.7249999511987,3.425000349059701,0.0,True
2024-01-04,36.7249999511987,3.475000349804759,0.0,True
2024-01-04,36.7249999511987,3.525000350549817,0.0,True
2024-01-04,36.67499995045364,3.425000349059701,0.0,True
2024-01-04,36.67499995045364,3.475000349804759,0.0,True
2024-01-04,36.67499995045364,3.525000350549817,0.0,True
