time,depth,latitude,longitude,thetao,day,distance_km
2024-02-01,2.645669,36.66667,3.0833435,,2024-02-01,9.496464669132697
2024-02-01,2.645669,36.66667,3.1666718,,2024-02-01,13.276882967911245
2024-02-01,2.645669,36.66667,3.25,,2024-02-01,19.306074472517334
2024-02-01,2.645669,36.75,2.8333435,16.475878,2024-02-01,20.194040166169533
2024-02-01,2.645669,36.75,2.9166718,,2024-02-01,12.76987826840439
2024-02-01,2.645669,36.75,3.0,,2024-02-01,5.345713953294998
2024-02-01,2.645669,36.75,3.0833435,16.281654,2024-02-01,2.079801567910821
2024-02-01,2.645669,36.75,3.1666718,16.199543,2024-02-01,9.50394748445699
2024-02-01,2.645669,36.75,3.25,,2024-02-01,16.92811061876691
2024-02-01,2.645669,36.833336,2.8333435,16.549236,2024-02-01,22.20863381656194
2024-02-01,2.645669,36.833336,2.9166718,16.514053,2024-02-01,15.772124592603511
2024-02-01,2.645669,36.833336,3.0,16.46232,2024-02-01,10.696398658202174
2024-02-01,2.645669,36.833336,3.0833435,16.42631,2024-02-01,9.496747682395155
2024-02-01,2.645669,36.833336,3.1666718,16.350643,2024-02-01,13.270048906298761
2024-02-01,2.645669,36.833336,3.25,16.30931,2024-02-01,19.290330362086166
2024-02-01,2.645669,36.91667,2.8333435,16.434362,2024-02-01,27.393082527538727
2024-02-01,2.645669,36.91667,2.9166718,16.393633,2024-02-01,22.49852861582144
2024-02-01,2.645669,36.91667,3.0,16.34841,2024-02-01,19.286865452625985
2024-02-01,2.645669,36.91667,3.0833435,16.325628,2024-02-01,18.648990373299995
2024-02-01,2.645669,36.91667,3.1666718,16.307974,2024-02-01,20.82299777897512
2024-02-01,2.645669,36.91667,3.25,16.275541,2024-02-01,25.08797191414032
2024-02-01,3.819495,36.583336,2.8333435,,2024-02-01,27.42486183499686
2024-02-01,3.819495,36.583336,2.9166718,,2024-02-01,22.513610945271516
2024-02-01,3.819495,36.583336,3.0,,2024-02-01,19.289317853545782
2024-02-01,3.819495,36.583336,3.0833435,,2024-02-01,18.648702135525184
2024-02-01,3.819495,36.583336,3.1666718,,2024-02-01,20.831708919035847
2024-02-01,3.819495,36.583336,3.25,,2024-02-01,25.112182506309033
2024-02-01,3.819495,36.66667,2.8333435,,2024-02-01,22.228234819302035
2024-02-01,3.819495,36.66667,2.9166718,,2024-02-01,15.782881420103022
2024-02-01,3.819495,36.66667,3.0,,2024-02-01,10.698609465725811
2024-02-01,3.819495,36.66667,3.0833435,,2024-02-01,9.496464669132697
2024-02-01,3.819495,36.66667,3.1666718,,2024-02-01,13.276882967911245
2024-02-01,3.819495,36.66667,3.25,,2024-02-01,19.306074472517334
2024-02-01,3.819495,36.75,2.8333435,16.475582,2024-02-01,20.194040166169533
2024-02-01,3.819495,36.75,2.9166718,,2024-02-01,12.76987826840439
2024-02-01,3.819495,36.75,3.0,,2024-02-01,5.345713953294998
2024-02-01,3.819495,36.75,3.0833435,16.280209,2024-02-01,2.079801567910821
2024-02-01,3.819495,36.75,3.1666718,16.198097,2024-02-01,9.50394748445699
2024-02-01,3.819495,36.75,3.25,,2024-02-01,16.92811061876691
2024-02-01,3.819495,36.833336,2.8333435,16.544905,2024-02-01,22.20863381656194
2024-02-01,3.819495,36.833336,2.9166718,16.512007,2024-02-01,15.772124592603511
2024-02-01,3.819495,36.833336,3.0,16.460804,2024-02-01,10.696398658202174
2024-02-01,3.819495,36.833336,3.0833435,16.41917,2024-02-01,9.496747682395155
2024-02-01,3.819495,36.833336,3.1666718,16.34076,2024-02-01,13.270048906298761
2024-02-01,3.819495,36.833336,3.25,16.302065,2024-02-01,19.290330362086166
2024-02-01,3.819495,36.91667,2.8333435,16.428946,2024-02-01,27.393082527538727
2024-02-01,3.819495,36.91667,2.9166718,16.38841,2024-02-01,22.49852861582144
2024-02-01,3.819495,36.91667,3.0,16.34147,2024-02-01,19.286865452625985
2024-02-01,3.819495,36.91667,3.0833435,16.323088,2024-02-01,18.648990373299995
2024-02-01,3.819495,36.91667,3.1666718,16.305931,2024-02-01,20.82299777897512
2024-02-01,3.819495,36.91667,3.25,16.27274,2024-02-01,25.08797191414032
2024-02-02,0.494025,36.583336,2.8333435,,2024-02-02,27.42486183499686
2024-02-02,0.494025,36.583336,2.9166718,,2024-02-02,22.513610945271516
2024-02-02,0.494025,36.583336,3.0,,2024-02-02,19.289317853545782
2024-02-02,0.494025,36.583336,3.0833435,,2024-02-02,18.648702135525184
2024-02-02,0.494025,36.583336,3.1666718,,2024-02-02,20.831708919035847
2024-02-02,0.494025,36.583336,3.25,,2024-02-02,25.112182506309033
2024-02-02,0.494025,36.66667,2.8333435,,2024-02-02,22.228234819302035
2024-02-02,0.494025,36.66667,2.9166718,,2024-02-02,15.782881420103022
2024-02-02,0.494025,36.66667,3.0,,2024-02-02,10.698609465725811
2024-02-02,0.494025,36.66667,3.0833435,,2024-02-02,9.496464669132697
2024-02-02,0.494025,36.66667,3.1666718,,2024-02-02,13.276882967911245
2024-02-02,0.494025,36.66667,3.25,,2024-02-02,19.306074472517334
2024-02-02,0.494025,36.75,2.8333435,16.378445,2024-02-02,20.194040166169533
2024-02-02,0.494025,36.75,2.9166718,,2024-02-02,12.76987826840439
2024-02-02,0.494025,36.75,3.0,,2024-02-02,5.345713953294998
2024-02-02,0.494025,36.75,3.0833435,16.243164,2024-02-02,2.079801567910821
2024-02-02,0.494025,36.75,3.1666718,16.150202,2024-02-02,9.50394748445699
2024-02-02,0.494025,36.75,3.25,,2024-02-02,16.92811061876691
2024-02-02,0.494025,36.833336,2.8333435,16.465815,2024-02-02,22.20863381656194
2024-02-02,0.494025,36.833336,2.9166718,16.459967,2024-02-02,15.772124592603511
2024-02-02,0.494025,36.833336,3.0,16.429241,2024-02-02,10.696398658202174
2024-02-02,0.494025,36.833336,3.0833435,16.385788,2024-02-02,9.496747682395155
2024-02-02,0.494025,36.833336,3.1666718,16.314642,2024-02-02,13.270048906298761
2024-02-02,0.494025,36.833336,3.25,16.271084,2024-02-02,19.290330362086166
2024-02-02,0.494025,36.91667,2.8333435,16.440725,2024-02-02,27.393082527538727
2024-02-02,0.494025,36.91667,2.9166718,16.373253,2024-02-02,22.49852861582144
2024-02-02,0.494025,36.91667,3.0,16.328304,2024-02-02,19.286865452625985
2024-02-02,0.494025,36.91667,3.0833435,16.291418,2024-02-02,18.648990373299995
2024-02-02,0.494025,36.91667,3.1666718,16.240477,2024-02-02,20.82299777897512
2024-02-02,0.494025,36.91667,3.25,16.20551,2024-02-02,25.08797191414032
2024-02-02,1.541375,36.583336,2.8333435,,2024-02-02,27.42486183499686
2024-02-02,1.541375,36.583336,2.9166718,,2024-02-02,22.513610945271516
2024-02-02,1.541375,36.583336,3.0,,2024-02-02,19.289317853545782
2024-02-02,1.541375,36.583336,3.0833435,,2024-02-02,18.648702135525184
2024-02-02,1.541375,36.583336,3.1666718,,2024-02-02,20.831708919035847
2024-02-02,1.541375,36.583336,3.25,,2024-02-02,25.112182506309033
2024-02-02,1.541375,36.66667,2.8333435,,2024-02-02,22.228234819302035
2024-02-02,1.541375,36.66667,2.9166718,,2024-02-02,15.782881420103022
2024-02-02,1.541375,36.66667,3.0,,2024-02-02,10.698609465725811
2024-02-02,1.541375,36.66667,3.0833435,,2024-02-02,9.496464669132697
