date,o2_median,o2_n_points,o2_dist_min_km,o2_dist_median_km,o2_dist_max_km
2024-02-01,247.42559051513672,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-02,247.36227416992188,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-03,246.95382690429688,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-04,246.9709701538086,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-05,247.1214141845703,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-06,247.11048889160156,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-07,247.03164672851562,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-08,247.2191925048828,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-09,247.24103546142578,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-10,246.29558563232422,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-11,245.92303466796875,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-12,246.24761199951172,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-13,246.7456283569336,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-14,247.88082885742188,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-15,248.93760681152344,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-16,248.97840881347656,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-17,248.29476928710938,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-18,248.3074722290039,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-19,249.11795806884766,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-20,250.19597625732422,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-21,250.72154998779297,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-22,250.44265747070312,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-23,248.9413604736328,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-24,248.23410034179688,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-25,248.08816528320312,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-26,247.8040771484375,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-27,247.99459075927734,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-28,247.8368148803711,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-29,247.86758422851562,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-01,247.40496063232422,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-02,247.58112335205078,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-03,247.2940902709961,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-04,246.83220672607422,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-05,246.6204833984375,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-06,247.02581024169922,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-07,247.32755279541016,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-08,247.27777099609375,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-09,247.43728637695312,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-10,247.24365997314453,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-11,247.4419403076172,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-12,248.17632293701172,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-13,249.13976287841797,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-14,249.9292221069336,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-15,250.42974090576172,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-16,250.72246551513672,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-17,250.82083892822266,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-18,250.7960662841797,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-19,250.8196563720703,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-20,250.52861785888672,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-21,249.98094177246094,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-22,249.77373504638672,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-23,249.46783447265625,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-24,249.25936889648438,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-25,249.15475463867188,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-26,248.92892456054688,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-27,248.2367935180664,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-28,248.2923355102539,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-29,249.12165069580078,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-30,249.4254379272461,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-03-31,249.4017791748047,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-01,249.48340606689453,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-02,249.5301055908203,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-03,249.57372283935547,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-04,249.42638397216797,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-05,248.99354553222656,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-06,248.4272918701172,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-07,247.5493621826172,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-08,247.0715560913086,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-09,247.07720184326172,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-10,247.05490112304688,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-11,247.06495666503906,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-12,246.95092010498047,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-13,246.94005584716797,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-14,246.62460327148438,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-15,246.2851791381836,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-16,246.42877960205078,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-17,246.14500427246094,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-18,245.5789566040039,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-19,245.6075210571289,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-20,246.00225067138672,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-21,245.6570053100586,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-22,245.45674896240234,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-04-23,245.47701263427734,44,28.306411434744845,55.852195301984636,67.95450828154688
