date,so_median,so_n_points,so_dist_min_km,so_dist_median_km,so_dist_max_km
2024-02-01,36.65212059020996,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-02,36.6188907623291,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-03,36.600290298461914,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-04,36.58897590637207,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-05,36.573577880859375,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-06,36.56721878051758,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-07,36.57408142089844,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-08,36.57892036437988,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-09,36.571977615356445,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-10,36.57524299621582,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-11,36.567047119140625,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-12,36.55398178100586,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-13,36.52798271179199,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-14,36.50557899475098,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-15,36.50128364562988,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-16,36.53841590881348,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-17,36.57854461669922,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-18,36.55692481994629,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-19,36.52536201477051,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-20,36.51786422729492,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-21,36.533607482910156,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-22,36.53250694274902,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-23,36.578073501586914,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-24,36.604923248291016,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-25,36.58440971374512,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-26,36.59482002258301,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-27,36.5846061706543,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-28,36.55112075805664,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-29,36.57659721374512,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-01,36.59792518615723,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-02,36.610116958618164,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-03,36.65569496154785,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-04,36.73625373840332,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-05,36.75344467163086,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-06,36.717491149902344,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-07,36.67893028259277,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-08,36.67293739318848,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-09,36.67424392700195,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-10,36.676618576049805,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-11,36.69091796875,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-12,36.691043853759766,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-13,36.677825927734375,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-14,36.67424774169922,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-15,36.68330383300781,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-16,36.70928192138672,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-17,36.70001220703125,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-18,36.687692642211914,52,2.0797980279792667,18.649134501336313,22.49864944036456
