date,requested_latitude,requested_longitude,era5_latitude,era5_longitude,t2m_mean_c,t2m_min_c,t2m_max_c,dewpoint_mean_c,precipitation_mm,wind_speed_mean_ms,wind_speed_max_ms,surface_pressure_mean_hpa,solar_radiation_mj_m2
2024-02-03,36.68110348873534,3.4773461625838635,36.75,3.5,12.6214905,9.215973,16.39981,9.356059,0.24318695,1.796978,3.316138,1015.0336,10.8780155
2024-02-04,36.68110348873534,3.4773461625838635,36.75,3.5,12.513763,7.837555,18.171295,8.3879595,0.0,1.8505231,2.750478,1014.28076,14.186688
2024-02-05,36.68110348873534,3.4773461625838635,36.75,3.5,13.84021,8.5121155,20.59317,8.455129,0.0,2.363014,3.4763606,1012.47394,14.457983
2024-02-06,36.68110348873534,3.4773461625838635,36.75,3.5,14.656474,10.475494,19.634674,5.830149,0.0,3.3121073,4.6539755,1008.37225,12.796544
2024-02-07,36.68110348873534,3.4773461625838635,36.75,3.5,14.024292,10.097076,18.845856,8.057719,0.0,3.8765392,6.454896,1005.967,14.091264
2024-02-08,36.68110348873534,3.4773461625838635,36.75,3.5,14.448517,10.034821,20.756256,5.374105,0.0,2.853886,4.024134,999.73944,14.231232
2024-02-09,36.68110348873534,3.4773461625838635,36.75,3.5,17.389719,12.971588,20.262115,3.936432,0.5750656,4.9756775,6.3684235,986.5298,4.41056
2024-02-10,36.68110348873534,3.4773461625838635,36.75,3.5,15.667827,13.377838,16.353668,9.395142,5.0907135,7.629354,10.768507,982.53827,10.889343
2024-02-11,36.68110348873534,3.4773461625838635,36.75,3.5,13.546041,10.789215,15.531403,6.8689675,3.7631989,6.049689,8.55919,993.91724,11.906752
2024-02-12,36.68110348873534,3.4773461625838635,36.75,3.5,15.81014,12.014069,19.214264,13.096222,5.862236,5.761421,8.083005,996.8763,6.7491198
2024-02-13,36.68110348873534,3.4773461625838635,36.75,3.5,16.065054,12.100494,19.213043,13.140778,0.04005432,2.9594724,4.545135,1005.79425,14.372543
2024-02-14,36.68110348873534,3.4773461625838635,36.75,3.5,14.39561,9.203522,19.834137,10.839742,0.0,2.27161,3.8149757,1007.77167,15.55488
2024-02-15,36.68110348873534,3.4773461625838635,36.75,3.5,18.2423,13.022614,23.405426,9.878774,0.0,3.2478087,4.241455,1000.7054,13.720576
2024-02-16,36.68110348873534,3.4773461625838635,36.75,3.5,15.071492,14.052155,16.807037,12.23821,5.760193,4.057083,6.3418617,1002.04364,10.959105
2024-02-17,36.68110348873534,3.4773461625838635,36.75,3.5,14.029826,13.551666,14.584137,12.711497,25.153637,4.7533345,6.7812867,1006.8789,3.376192
2024-02-18,36.68110348873534,3.4773461625838635,36.75,3.5,14.804637,12.216949,17.544586,13.0112915,0.6713867,1.8132099,3.4552965,1014.5928,12.550655
2024-02-19,36.68110348873534,3.4773461625838635,36.75,3.5,13.5130415,11.23941,16.00821,11.366139,0.05865097,1.5240002,3.303635,1013.77313,10.77952
2024-02-20,36.68110348873534,3.4773461625838635,36.75,3.5,13.378856,10.178375,17.144684,10.485219,0.3681183,2.0381393,4.419944,1010.7234,15.617089
2024-02-21,36.68110348873534,3.4773461625838635,36.75,3.5,13.411977,10.929108,16.888092,9.002899,0.11920929,1.9319118,2.8866026,1009.55597,14.7763195
2024-02-22,36.68110348873534,3.4773461625838635,36.75,3.5,16.052713,10.96402,22.213531,9.001607,0.0,3.011113,3.9039981,1000.0009,16.23059
2024-02-23,36.68110348873534,3.4773461625838635,36.75,3.5,14.180237,10.695709,16.740387,7.8391623,7.647991,5.293238,7.2760506,994.2752,7.20672
2024-02-24,36.68110348873534,3.4773461625838635,36.75,3.5,10.643433,9.582184,11.825592,6.8511558,13.174534,5.0400877,8.159857,996.1628,10.265408
2024-02-25,36.68110348873534,3.4773461625838635,36.75,3.5,13.113109,9.06192,16.992096,7.3321533,0.027179718,4.830109,6.8419585,999.27814,13.241856
2024-02-26,36.68110348873534,3.4773461625838635,36.75,3.5,15.067078,11.355621,17.968903,9.315236,4.456997,6.282038,8.414469,990.3411,10.17856
2024-02-27,36.68110348873534,3.4773461625838635,36.75,3.5,10.6900835,9.57608,12.145905,8.274017,21.169186,5.6242175,7.584919,992.3206,12.108225
2024-02-28,36.68110348873534,3.4773461625838635,36.75,3.5,10.440521,9.582184,11.23941,8.808533,32.483578,5.410685,7.5117936,997.5781,7.453696
