date,eastward_wind_median,eastward_wind_n_points,eastward_wind_dist_min_km,eastward_wind_dist_median_km,eastward_wind_dist_max_km,northward_wind_median,northward_wind_n_points,northward_wind_dist_min_km,northward_wind_dist_median_km,northward_wind_dist_max_km
2024-02-01,-1.185,624,6.953248491503427,23.546747099200253,34.749131349410796,-0.505,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-02,0.01,624,6.953248491503427,23.546747099200253,34.749131349410796,-0.41500000000000004,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-03,-1.8650000000000002,624,6.953248491503427,23.546747099200253,34.749131349410796,-0.07,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-04,-0.54,624,6.953248491503427,23.546747099200253,34.749131349410796,0.805,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-05,-0.36,624,6.953248491503427,23.546747099200253,34.749131349410796,1.085,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-06,0.9500000000000001,624,6.953248491503427,23.546747099200253,34.749131349410796,2.06,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-07,4.465,624,6.953248491503427,23.546747099200253,34.749131349410796,1.755,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-08,0.78,624,6.953248491503427,23.546747099200253,34.749131349410796,2.13,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-09,1.165,624,6.953248491503427,23.546747099200253,34.749131349410796,3.88,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-10,8.895,624,6.953248491503427,23.546747099200253,34.749131349410796,2.925,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-11,7.945,624,6.953248491503427,23.546747099200253,34.749131349410796,-0.755,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-12,6.99,624,6.953248491503427,23.546747099200253,34.749131349410796,1.495,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-13,2.88,624,6.953248491503427,23.546747099200253,34.749131349410796,0.34,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-14,-1.2850000000000001,624,6.953248491503427,23.546747099200253,34.749131349410796,0.4,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-15,-0.435,624,6.953248491503427,23.546747099200253,34.749131349410796,1.58,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-16,5.335000000000001,624,6.953248491503427,23.546747099200253,34.749131349410796,0.24,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-17,1.31,624,6.953248491503427,23.546747099200253,34.749131349410796,-5.68,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-18,-1.1500000000000001,624,6.953248491503427,23.546747099200253,34.749131349410796,-1.6,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-19,0.265,624,6.953248491503427,23.546747099200253,34.749131349410796,0.35000000000000003,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-20,0.41000000000000003,624,6.953248491503427,23.546747099200253,34.749131349410796,-0.685,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-21,0.33,624,6.953248491503427,23.546747099200253,34.749131349410796,0.14500000000000002,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-22,1.155,624,6.953248491503427,23.546747099200253,34.749131349410796,2.4050000000000002,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-23,6.565,624,6.953248491503427,23.546747099200253,34.749131349410796,1.9000000000000001,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-24,6.29,624,6.953248491503427,23.546747099200253,34.749131349410796,0.755,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-25,6.07,624,6.953248491503427,23.546747099200253,34.749131349410796,2.18,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-26,7.19,624,6.953248491503427,23.546747099200253,34.749131349410796,3.425,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-27,5.95,624,6.953248491503427,23.546747099200253,34.749131349410796,-0.26,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-28,4.55,624,6.953248491503427,23.546747099200253,34.749131349410796,-2.9699999999999998,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-02-29,6.08,624,6.953248491503427,23.546747099200253,34.749131349410796,-2.94,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-03-01,6.32,624,6.953248491503427,23.546747099200253,34.749131349410796,-0.645,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-03-02,1.52,624,6.953248491503427,23.546747099200253,34.749131349410796,2.23,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-03-03,6.62,624,6.953248491503427,23.546747099200253,34.749131349410796,0.035,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-03-04,6.545,624,6.953248491503427,23.546747099200253,34.749131349410796,-0.775,624,6.953248491503427,23.546747099200253,34.749131349410796
2024-03-05,3.3100000000000005,624,6.953248491503427,23.546747099200253,34.749131349410796,0.395,624,6.953248491503427,23.546747099200253,34.749131349410796
