date,zos_median,zos_n_points,zos_dist_min_km,zos_dist_median_km,zos_dist_max_km
2024-02-01,-0.3113822340965271,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-02,-0.3081686198711395,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-03,-0.32920971512794495,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-04,-0.35905930399894714,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-05,-0.3500988781452179,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-06,-0.32375288009643555,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-07,-0.3046835660934448,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-08,-0.2933003902435303,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-09,-0.23909683525562286,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-10,-0.20114754140377045,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-11,-0.19001339375972748,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-12,-0.17850780487060547,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-13,-0.18592479825019836,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-14,-0.20891262590885162,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-15,-0.22832538187503815,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-16,-0.22372300922870636,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-17,-0.24568599462509155,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-18,-0.29810699820518494,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-19,-0.3368048071861267,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-20,-0.3470478355884552,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-21,-0.3407076895236969,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-22,-0.3496139347553253,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-23,-0.33544066548347473,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-24,-0.31789448857307434,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-25,-0.3337007761001587,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-26,-0.2724190354347229,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-27,-0.24366545677185059,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-28,-0.28410059213638306,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-29,-0.3058648407459259,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-01,-0.34152036905288696,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-02,-0.3795693814754486,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-03,-0.35131514072418213,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-04,-0.36827993392944336,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-05,-0.3592297434806824,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-06,-0.37240782380104065,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-07,-0.3750648498535156,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-08,-0.35781317949295044,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-09,-0.33491238951683044,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-10,-0.3110349476337433,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-11,-0.30423107743263245,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-12,-0.3154289722442627,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-13,-0.3263610005378723,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-14,-0.3372679352760315,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-15,-0.3513353765010834,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-16,-0.36677107214927673,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-17,-0.377680242061615,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-18,-0.37042972445487976,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-19,-0.37125924229621887,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-20,-0.3594494163990021,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-21,-0.37208014726638794,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-22,-0.39123836159706116,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-23,-0.40086984634399414,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-24,-0.4330413341522217,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-25,-0.42096632719039917,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-26,-0.38540196418762207,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-27,-0.32649803161621094,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-28,-0.23399858176708221,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-29,-0.18362589180469513,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-30,-0.16027161478996277,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-31,-0.17152784764766693,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-01,-0.18423248827457428,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-02,-0.21131964027881622,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-03,-0.2504732310771942,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-04,-0.2977948784828186,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-05,-0.324485182762146,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-06,-0.3366708755493164,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-07,-0.34717506170272827,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-08,-0.3488054573535919,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-09,-0.3530527651309967,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-10,-0.39364495873451233,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-11,-0.3904852271080017,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-12,-0.4128493070602417,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-13,-0.4256461560726166,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-14,-0.42703795433044434,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-15,-0.40566134452819824,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-16,-0.3969983160495758,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-17,-0.40042924880981445,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-18,-0.36290767788887024,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-19,-0.3744228780269623,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-20,-0.352156400680542,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-21,-0.3754776120185852,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-22,-0.373501181602478,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-23,-0.39102670550346375,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-24,-0.3633027672767639,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-25,-0.3573933243751526,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-26,-0.33052024245262146,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-27,-0.30027487874031067,13,2.0797980279792667,18.649134501336313,22.49864944036456
2024-04-28,-0.281899094581604,13,2.0797980279792667,18.649134501336313,22.49864944036456
