date,chl_median,chl_n_points,chl_dist_min_km,chl_dist_median_km,chl_dist_max_km,phyc_median,phyc_n_points,phyc_dist_min_km,phyc_dist_median_km,phyc_dist_max_km
2024-05-20,0.13071127235889435,44,28.306411434744845,55.852195301984636,67.95450828154688,1.5626371502876282,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-21,0.12715500593185425,44,28.306411434744845,55.852195301984636,67.95450828154688,1.5391525030136108,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-22,0.12750564515590668,44,28.306411434744845,55.852195301984636,67.95450828154688,1.5396475195884705,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-23,0.1293128877878189,44,28.306411434744845,55.852195301984636,67.95450828154688,1.5498770475387573,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-24,0.13149244338274002,44,28.306411434744845,55.852195301984636,67.95450828154688,1.5574769973754883,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-25,0.13696122914552689,44,28.306411434744845,55.852195301984636,67.95450828154688,1.6118632555007935,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-26,0.1463049203157425,44,28.306411434744845,55.852195301984636,67.95450828154688,1.6515068411827087,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-27,0.15221312642097473,44,28.306411434744845,55.852195301984636,67.95450828154688,1.6951395273208618,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-28,0.15042665600776672,44,28.306411434744845,55.852195301984636,67.95450828154688,1.7562206387519836,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-29,0.14609042555093765,44,28.306411434744845,55.852195301984636,67.95450828154688,1.7845999598503113,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-30,0.1474025547504425,44,28.306411434744845,55.852195301984636,67.95450828154688,1.846030354499817,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-05-31,0.13339314609766006,44,28.306411434744845,55.852195301984636,67.95450828154688,1.6424320936203003,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-01,0.12408612295985222,44,28.306411434744845,55.852195301984636,67.95450828154688,1.5342703461647034,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-02,0.12270450219511986,44,28.306411434744845,55.852195301984636,67.95450828154688,1.518259048461914,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-03,0.12097415700554848,44,28.306411434744845,55.852195301984636,67.95450828154688,1.5253353118896484,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-04,0.12140989676117897,44,28.306411434744845,55.852195301984636,67.95450828154688,1.521276831626892,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-05,0.12181831151247025,44,28.306411434744845,55.852195301984636,67.95450828154688,1.5415810346603394,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-06,0.12352151796221733,44,28.306411434744845,55.852195301984636,67.95450828154688,1.5820778012275696,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-07,0.12506333738565445,44,28.306411434744845,55.852195301984636,67.95450828154688,1.605260968208313,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-08,0.1249377653002739,44,28.306411434744845,55.852195301984636,67.95450828154688,1.6022383570671082,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-09,0.1232590451836586,44,28.306411434744845,55.852195301984636,67.95450828154688,1.5584882497787476,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-10,0.12506024539470673,44,28.306411434744845,55.852195301984636,67.95450828154688,1.5716888904571533,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-11,0.13266634196043015,44,28.306411434744845,55.852195301984636,67.95450828154688,1.6463422775268555,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-12,0.14315830171108246,44,28.306411434744845,55.852195301984636,67.95450828154688,1.7453387379646301,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-13,0.14910712093114853,44,28.306411434744845,55.852195301984636,67.95450828154688,1.7954126596450806,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-14,0.1451663374900818,44,28.306411434744845,55.852195301984636,67.95450828154688,1.7502577304840088,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-15,0.1452513337135315,44,28.306411434744845,55.852195301984636,67.95450828154688,1.818521797657013,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-16,0.15186432749032974,44,28.306411434744845,55.852195301984636,67.95450828154688,1.9453936219215393,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-17,0.16302420943975449,44,28.306411434744845,55.852195301984636,67.95450828154688,2.062302350997925,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-18,0.16154909878969193,44,28.306411434744845,55.852195301984636,67.95450828154688,2.0820876359939575,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-19,0.15441927313804626,44,28.306411434744845,55.852195301984636,67.95450828154688,1.9777988195419312,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-20,0.14671165496110916,44,28.306411434744845,55.852195301984636,67.95450828154688,1.8969778418540955,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-06-21,0.14401724934577942,44,28.306411434744845,55.852195301984636,67.95450828154688,1.8727085590362549,44,28.306411434744845,55.852195301984636,67.95450828154688
