date,uo_median,uo_n_points,uo_dist_min_km,uo_dist_median_km,uo_dist_max_km,vo_median,vo_n_points,vo_dist_min_km,vo_dist_median_km,vo_dist_max_km
2024-02-01,0.1408766210079193,52,2.0797980279792667,18.649134501336313,22.49864944036456,-0.009550400078296661,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-02,0.038365162909030914,52,2.0797980279792667,18.649134501336313,22.49864944036456,-0.030878489837050438,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-03,-0.0665840320289135,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.004890206037089229,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-04,-0.04967443272471428,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.013216476421803236,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-05,0.007046026643365622,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.008973216637969017,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-06,0.11786914616823196,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.0027669540140777826,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-07,0.21323449909687042,52,2.0797980279792667,18.649134501336313,22.49864944036456,-0.0007930784486234188,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-08,0.2005944848060608,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.006374898366630077,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-09,0.21678125113248825,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.01916704699397087,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-10,0.36005236208438873,52,2.0797980279792667,18.649134501336313,22.49864944036456,-0.026355737820267677,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-11,0.49474622309207916,52,2.0797980279792667,18.649134501336313,22.49864944036456,-0.03139877691864967,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-12,0.5207051336765289,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.0014372165314853191,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-13,0.5103691220283508,52,2.0797980279792667,18.649134501336313,22.49864944036456,-0.006411491893231869,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-14,0.3571862131357193,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.05169531889259815,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-15,0.3059198707342148,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.08873714506626129,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-16,0.2922763079404831,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.024962086230516434,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-17,0.14732345193624496,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.05572398751974106,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-18,0.0928608775138855,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.09588379040360451,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-19,0.04744138941168785,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.04413691908121109,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-20,-0.005175480269826949,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.023080289363861084,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-21,-0.12154155224561691,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.0286167124286294,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-22,-0.17624317854642868,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.02947151940315962,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-23,-0.08595358952879906,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.001004917488899082,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-24,0.09599856287240982,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.005084417760372162,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-25,0.2176579311490059,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.006944688968360424,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-26,0.35696056485176086,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.004084580112248659,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-27,0.5380241572856903,52,2.0797980279792667,18.649134501336313,22.49864944036456,-0.0016820847522467375,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-28,0.3590189814567566,52,2.0797980279792667,18.649134501336313,22.49864944036456,-0.012242558877915144,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-29,0.23300658911466599,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.0896853655576706,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-01,0.20231341570615768,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.10539399832487106,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-02,0.18410193175077438,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.08510018140077591,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-03,0.202907994389534,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.05243063159286976,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-04,0.25538407266139984,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.0246660765260458,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-05,0.14203428477048874,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.019313696771860123,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-06,0.01778787188231945,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.08105095475912094,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-07,-0.10084322094917297,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.053391577675938606,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-08,-0.0805571861565113,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.01714756991714239,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-09,-0.11747508123517036,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.017326881177723408,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-10,0.021282603964209557,52,2.0797980279792667,18.649134501336313,22.49864944036456,-0.02391590178012848,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-11,0.07468559220433235,52,2.0797980279792667,18.649134501336313,22.49864944036456,-0.046968238428235054,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-12,0.05565847083926201,52,2.0797980279792667,18.649134501336313,22.49864944036456,-0.03766573779284954,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-13,-0.005169822834432125,52,2.0797980279792667,18.649134501336313,22.49864944036456,0.01139574171975255,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-14,-0.032211193814873695,52,2.0797980279792667,18.649134501336313,22.49864944036456,-0.0332645196467638,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-15,-0.035266066901385784,52,2.0797980279792667,18.649134501336313,22.49864944036456,-0.017224027775228024,52,2.0797980279792667,18.649134501336313,22.49864944036456
