date,ph_median,ph_n_points,ph_dist_min_km,ph_dist_median_km,ph_dist_max_km,dissic_median,dissic_n_points,dissic_dist_min_km,dissic_dist_median_km,dissic_dist_max_km
2024-02-01,8.108189582824707,44,28.306411434744845,55.852195301984636,67.95450828154688,2.2159507274627686,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-02,8.107290267944336,44,28.306411434744845,55.852195301984636,67.95450828154688,2.2152175903320312,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-03,8.107939720153809,44,28.306411434744845,55.852195301984636,67.95450828154688,2.215884804725647,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-04,8.108309268951416,44,28.306411434744845,55.852195301984636,67.95450828154688,2.216373562812805,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-05,8.108707427978516,44,28.306411434744845,55.852195301984636,67.95450828154688,2.216757893562317,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-06,8.109685897827148,44,28.306411434744845,55.852195301984636,67.95450828154688,2.2159522771835327,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-07,8.110572814941406,44,28.306411434744845,55.852195301984636,67.95450828154688,2.2149993181228638,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-08,8.110679149627686,44,28.306411434744845,55.852195301984636,67.95450828154688,2.2146438360214233,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-09,8.110620498657227,44,28.306411434744845,55.852195301984636,67.95450828154688,2.2144447565078735,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-10,8.109479427337646,44,28.306411434744845,55.852195301984636,67.95450828154688,2.2149059772491455,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-11,8.109550476074219,44,28.306411434744845,55.852195301984636,67.95450828154688,2.21443247795105,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-12,8.110424518585205,44,28.306411434744845,55.852195301984636,67.95450828154688,2.2122256755828857,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-13,8.110076904296875,44,28.306411434744845,55.852195301984636,67.95450828154688,2.209291934967041,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-14,8.109780311584473,44,28.306411434744845,55.852195301984636,67.95450828154688,2.205702304840088,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-15,8.110036373138428,44,28.306411434744845,55.852195301984636,67.95450828154688,2.2036430835723877,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-16,8.110152244567871,44,28.306411434744845,55.852195301984636,67.95450828154688,2.2013672590255737,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-17,8.109974384307861,44,28.306411434744845,55.852195301984636,67.95450828154688,2.20136559009552,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-18,8.109911441802979,44,28.306411434744845,55.852195301984636,67.95450828154688,2.201244831085205,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-19,8.110382080078125,44,28.306411434744845,55.852195301984636,67.95450828154688,2.202151298522949,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-02-20,8.11064624786377,44,28.306411434744845,55.852195301984636,67.95450828154688,2.202791929244995,44,28.306411434744845,55.852195301984636,67.95450828154688
