date,VHM0_median,VHM0_n_points,VHM0_dist_min_km,VHM0_dist_median_km,VHM0_dist_max_km
2024-02-01,0.23,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-02,0.21,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-03,0.74,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-04,0.23,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-05,0.09,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-06,0.21,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-07,0.98,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-08,0.76,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-09,0.65,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-10,2.96,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-11,2.26,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-12,1.7650000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-13,1.0,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-14,0.61,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-15,0.515,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-16,1.03,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-17,2.05,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-18,1.03,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-19,0.29,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-20,0.55,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-21,0.8150000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-22,0.44,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-23,2.25,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-24,1.955,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-25,1.77,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-26,2.61,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-27,1.92,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-28,2.0949999999999998,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-02-29,2.62,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-01,2.135,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-02,1.085,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-03,2.625,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-04,2.2700000000000005,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-05,1.0950000000000002,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-06,0.68,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-07,0.605,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-08,1.26,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-09,1.25,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-10,2.54,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-11,2.13,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-12,0.92,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-13,0.905,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-14,0.505,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-15,0.26,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-16,0.27,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-17,0.16,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-18,0.3,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-19,0.15,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-20,0.51,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-21,0.9500000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-22,0.86,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-23,0.685,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-24,0.875,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-25,1.3800000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-26,1.3450000000000002,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-27,3.6,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-28,1.92,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-29,1.1,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-30,1.1500000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-03-31,1.105,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-01,1.7650000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-02,0.785,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-03,0.3,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-04,0.19,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-05,0.34,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-06,0.52,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-07,0.625,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-08,0.78,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-09,1.59,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-10,1.09,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-11,1.705,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-12,1.145,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-13,0.41000000000000003,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-14,0.38,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-15,0.44,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-16,0.28500000000000003,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-17,1.025,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-18,1.105,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-19,1.6300000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-20,1.1,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-21,1.225,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-22,0.91,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-23,1.245,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-24,0.9,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-25,0.8,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-26,0.5,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-27,0.635,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-28,0.93,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-29,0.9400000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-04-30,0.92,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-01,1.78,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-02,1.585,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-03,0.5700000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-04,0.235,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-05,0.15,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-06,0.4,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-07,0.59,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-08,0.585,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-09,0.59,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-10,0.605,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-11,0.765,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-12,0.73,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-13,0.46,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-14,0.38,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-15,1.375,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-16,1.0950000000000002,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-17,0.71,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-18,0.525,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-19,0.46,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-20,0.85,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-21,1.2149999999999999,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-22,0.905,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-23,0.67,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-24,0.885,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-25,0.67,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-26,0.495,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-27,0.51,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-28,0.74,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-29,0.81,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-30,0.545,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-05-31,1.6550000000000002,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-01,1.69,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-02,1.32,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-03,1.1400000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-04,0.835,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-05,0.55,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-06,0.77,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-07,0.89,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-08,1.19,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-09,1.5,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-10,0.9400000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-11,0.6950000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-12,0.58,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-13,0.51,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-14,0.59,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-15,0.61,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-16,0.52,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-17,0.475,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-18,0.53,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-19,0.79,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-20,1.155,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-21,0.91,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-22,0.36,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-23,0.41000000000000003,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-24,1.05,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-25,0.64,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-26,1.26,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-27,0.9,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-28,0.675,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-29,1.03,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-06-30,0.64,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-01,0.465,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-02,0.71,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-03,0.76,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-04,0.73,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-05,1.4100000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-07-06,1.0950000000000002,128,7.711546198681338,41.21199946489436,55.49704268963926
