date,thetao_median,thetao_n_points,thetao_dist_min_km,thetao_dist_median_km,thetao_dist_max_km
2024-02-01,16.35339641571045,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-02,16.318092346191406,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-03,16.277377128601074,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-04,16.215035438537598,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-05,16.18509864807129,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-06,16.115129470825195,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-07,16.06344699859619,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-08,16.12111759185791,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-09,16.053927421569824,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-10,16.014272689819336,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-11,15.954133987426758,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-12,16.038586616516113,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-13,16.279817581176758,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-14,16.38387966156006,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-15,16.420564651489258,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-16,16.32563018798828,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-17,16.258553504943848,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-18,16.323970794677734,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-19,16.361217498779297,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-20,16.400108337402344,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-21,16.46797466278076,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-22,16.53840160369873,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-23,16.42569351196289,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-24,16.321300506591797,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-25,16.254565238952637,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-26,16.215770721435547,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-27,16.18403148651123,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-28,16.10296058654785,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-02-29,16.080544471740723,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-01,16.01548480987549,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-02,15.965986728668213,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-03,15.824922561645508,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-04,15.773728370666504,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-05,15.818583011627197,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-06,15.888927936553955,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-07,16.020456314086914,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-08,15.94941234588623,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-09,16.038207054138184,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-10,15.971664905548096,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-11,15.960512161254883,52,2.0797980279792667,18.649134501336313,22.49864944036456
2024-03-12,16.065770149230957,52,2.0797980279792667,18.649134501336313,22.49864944036456
